player_id,from_club_id,to_club_id
1011262,11831,288
1013474,63966,8816
1013913,14554,333
1013922,12179,8718
1015089,2407,9168
1015626,14554,10663
1017261,195,190
1019928,103649,623
1020837,25184,10233
1020838,1286,37535
1027880,14687,1418
1029002,12454,1030
1029760,2619,25373
1029814,14687,1418
1031575,55686,26468
1031798,11648,8172
1044533,83197,2677
1049404,3631,14758
1051322,17776,330
1055320,4961,110451
1062319,2402,861
1064181,12179,1029
1064191,4078,69261
1064930,10997,96207
1064936,25184,189
1072321,6603,42208
1074429,99517,6593
1084192,39418,221
1087316,1106,9811
1089609,10997,14702
1089955,776,221
1093864,679,14807
1093951,2125,10247
1098514,9961,9811
1101761,3592,17522
1103406,31284,3938
1103930,14554,1030
1103941,12301,1106
1105073,6992,20960
1105078,102400,12371
1108153,12454,1234
1108415,14687,19523
1108681,32041,8172
1112486,537,2350
1116636,95334,2462
1118712,11831,3938
1119364,38628,2350
1119752,10093,5026
1120902,2696,1829
1126191,31284,1234
1126427,93338,26468
1126741,14602,3938
1127950,10093,18265
1131420,1234,209
1132027,12690,23568
1149569,14687,189
1151028,103649,40058
1152154,330,720
1174943,11831,189
1182161,14687,189
1190005,25467,51663
1197773,928,189
1199583,11141,8172
1203744,14602,209
1203749,2063,209
1203752,31284,14837
1203753,12454,14837
1210697,12301,9540
1220061,3828,609
1225290,12454,1030
1225755,2125,1234
1231128,11831,209
1236679,928,189
1238722,95334,40058
1240383,928,1029
1243090,72822,1124
1244188,14554,95571
1251638,175,1293
1281969,830,2154
1291055,928,209
1292706,4961,83082
1298505,25184,1234
1306088,14602,15953
1322217,11831,1029
1322290,31284,15372
1375675,19775,45560
1380618,17425,110451
1383742,38628,2350
1447326,12454,28609
1514701,76,139763
915016,1804,4941
646676,17776,3234
561403,6505,6499
531040,6505,46292
586944,6505,30925
639133,6505,6499
643325,6505,6499
735654,6505,6499
870390,23829,75
968728,6505,2996
1091519,11086,14390
374554,133925,82686
401361,62204,6643
492104,5202,8344
565014,68031,2440
583163,87631,114977
673626,69044,1061
763648,40835,6643
796528,23565,63966
852939,7609,11177
892087,3641,272
916129,5202,1059
934722,801,3622
939246,57117,3654
980081,1118,41107
1016312,57117,3654
1088713,78287,7945
1093464,57117,3654
1128650,69748,2440
1129935,1101,95337
1170094,17938,1059
1401544,1092,81833
568644,6505,6500
572166,6505,6504
641646,6505,6502
646357,6505,19684
660521,6505,21459
666109,6505,19684
762583,6505,6499
772978,6505,31622
858766,6505,6502
876856,6505,16696
909853,6505,3535
1013932,6505,3301
1024721,6505,6504
1193794,663,6890
448414,4961,7633
448414,7633,4961
574660,159,964
1500420,679,660
375391,1044,347
1179146,10482,631
1275068,609,16
645842,19684,6505
677470,3535,6505
709155,19684,6505
728133,35759,6505
730364,38898,6505
746780,2996,6505
755355,30925,6505
862094,21459,6505
929007,19684,6505
922846,443,73226
989937,8172,6643
1188255,87713,39723
239044,353,195
718152,1011,3329
720294,221,609
989937,6643,8172
908293,1247,288
1125601,21101,76
1310998,175,4309
343153,813,51828
1050373,999,3523
1310998,4309,175
125781,13,45604
116598,190,3622
870390,75,23829
1111663,266,1390
3333,1237,123
15185,428,123
15452,4172,515
16136,417,123
16306,985,515
16756,2698,123
16911,371,123
18940,10004,515
23523,206,515
25520,1304,515
27706,964,123
29241,720,515
29692,379,515
29712,762,515
30321,367,515
31067,468,123
33829,3268,123
35645,1496,123
36709,1191,2759
38253,131,515
38746,450,123
41131,511,515
41355,317,123
42205,46,515
42717,475,515
42748,3508,515
43300,7769,123
44118,64780,123
44726,443,123
45403,132,515
45425,3551,123
46415,144,123
48067,71985,515
48810,11194,123
49499,7732,515
49693,22,515
50219,2282,123
51604,11194,515
51733,1241,515
52059,190,515
52119,468,515
53077,30120,123
53536,2697,123
54217,1108,515
54596,1418,19775
54781,294,209
54906,46,515
55099,60,245
55494,1519,515
55972,540,515
56490,1241,515
56831,653,515
56836,724,123
56976,669,123
57370,71085,123
57500,368,123
58534,120,515
59016,418,515
59053,122,515
59082,452,260
59145,234,515
59238,26,123
59322,338,660
59543,987,123
59561,1050,515
59641,132,515
59970,48332,123
60599,25580,515
61277,11065,515
62094,124,515
62351,1420,123
62415,10997,42109
63223,6699,515
63489,653,515
64193,9465,515
64303,5544,123
64339,1465,123
64793,1390,515
65278,398,515
66106,2407,515
68030,434,515
68390,29,515
68410,242,515
68499,71085,515
69511,678,206
70209,7006,515
70699,5545,515
71271,150,123
72522,720,515
72736,3948,123
72768,2420,515
73517,368,515
73731,40812,515
74288,9597,515
74294,368,515
74960,1132,515
77117,266,23158
77710,114,123
78339,168,515
78868,61,452
79419,5551,515
80059,120,515
80339,1241,515
80562,330,2462
80702,970,515
84085,10004,515
